University,City,Cost,Subjects,Country,IELTS Score
University of Sydney,Sydney,17518,"Physics, AI, Law, Robotics",Australia,8.0
McGill University,Toronto,19541,"Business, Computer Science, Biology, Robotics",Canada,8.0
University of Alberta,Quebec City,17521,"Computer Science, Biology, Mathematics, Engineering",Canada,7.0
UPenn,Princeton,16117,"Physics, Robotics, Law, Economics",USA,6.5
Western University,Edmonton,19924,"Mathematics, Physics, Business, Law",Canada,8.0
University of Bristol,London,18855,"AI, Law, Robotics, Engineering",UK,7.5
Durham University,Durham,10182,"Business, Economics, Robotics, Law",UK,8.0
University of Chicago,Cambridge,19497,"Physics, Engineering, Computer Science",USA,7.5
RMIT University,Darwin,19873,"Economics, Business, Mathematics",Australia,7.5
University of Toronto,Ottawa,14027,"Engineering, Business, Economics",Canada,6.5
York University,Quebec City,13080,"Engineering, Biology",Canada,7.5
University of Ottawa,Montreal,17403,"Robotics, Physics",Canada,7.5
King's College London,Liverpool,17905,"Physics, Robotics",UK,6.0
University of Adelaide,Canberra,17185,"Computer Science, Robotics, Mathematics",Australia,7.0
Western University,Halifax,17575,"Law, Engineering",Canada,7.0
Oxford,Leeds,19581,"Physics, Business, Engineering, Robotics",UK,7.0
McMaster University,Victoria,11451,"Biology, Law, Economics",Canada,6.5
Caltech,Chicago,13382,"Robotics, Mathematics",USA,6.5
York University,Calgary,17848,"Biology, Physics, Mathematics",Canada,7.0
University of Manchester,Durham,16840,"Biology, Economics",UK,7.5
University of Melbourne,Gold Coast,17307,"Law, Mathematics, Robotics",Australia,8.0
University of Alberta,Ottawa,10730,"Biology, Physics, Robotics",Canada,6.5
MIT,Philadelphia,10480,"Engineering, Business, Physics, Mathematics",USA,6.0
Cambridge,Cambridge,10188,"Mathematics, Computer Science",UK,6.5
Stanford,Boston,12925,"Robotics, Engineering, Mathematics",USA,7.5
ANU,Canberra,13629,"Mathematics, Economics",Australia,6.0
University of Melbourne,Sydney,12921,"Business, Mathematics, Robotics",Australia,6.5
University of Sydney,Sydney,10734,"Mathematics, Business, Physics",Australia,6.0
Oxford,Manchester,11979,"Physics, Biology",UK,7.0
University of Technology Sydney,Brisbane,16203,"AI, Law, Computer Science",Australia,6.5
University of Western Australia,Brisbane,13348,"Computer Science, Business, Engineering",Australia,6.5
Caltech,Chicago,17107,"Physics, Computer Science",USA,6.0
UPenn,Los Angeles,18086,"AI, Law, Computer Science",USA,6.0
University of Edinburgh,Bristol,15142,"Computer Science, Economics, Business",UK,8.0
University of Western Australia,Perth,19732,"Biology, Physics",Australia,6.0
University of Alberta,Victoria,18944,"Robotics, Business",Canada,6.5
UPenn,San Francisco,18814,"Mathematics, Law, Business, Computer Science",USA,7.5
UPenn,Palo Alto,14669,"AI, Economics, Law, Engineering",USA,6.0
University of Queensland,Adelaide,13702,"Law, Physics, Robotics",Australia,8.0
Duke,Philadelphia,19793,"Computer Science, Economics",USA,6.5
RMIT University,Melbourne,15109,"Business, Mathematics",Australia,6.5
Cambridge,Cambridge,18518,"Law, Biology",UK,6.5
Caltech,Princeton,14795,"Engineering, Mathematics, Biology",USA,7.5
UNSW,Adelaide,15094,"Robotics, Business",Australia,7.5
University of Edinburgh,Edinburgh,17039,"AI, Physics",UK,7.0
York University,Montreal,13144,"Business, Mathematics",Canada,6.0
Duke,New York,16008,"Business, Physics",USA,6.0
Duke,Palo Alto,17939,"Physics, Robotics, Mathematics, Biology",USA,6.0
Imperial College London,Cambridge,10325,"Computer Science, Law",UK,7.5
University of Waterloo,Calgary,16949,"Biology, Computer Science, Mathematics",Canada,8.0
King's College London,Edinburgh,17834,"Mathematics, Computer Science, Robotics, Physics",UK,7.0
MIT,Durham,16943,"Business, Law, Biology, Robotics",USA,7.5
University of Sydney,Sydney,15780,"Mathematics, Computer Science, Biology, Engineering",Australia,7.5
University of Sydney,Hobart,12229,"Law, Physics, Computer Science",Australia,6.5
University of Toronto,Calgary,19999,"Robotics, Business, Mathematics, AI",Canada,8.0
University of Waterloo,Winnipeg,19233,"Computer Science, Economics, Mathematics",Canada,7.5
Princeton,Palo Alto,16645,"Physics, AI, Mathematics",USA,8.0
King's College London,Cambridge,14580,"Mathematics, Computer Science",UK,6.5
University of Manchester,London,15480,"AI, Physics, Law, Business",UK,7.5
University of Technology Sydney,Darwin,13694,"Computer Science, Engineering, AI",Australia,6.5
Duke,Durham,14924,"Robotics, Biology, Mathematics, Law",USA,7.0
Columbia,Palo Alto,13514,"Law, Engineering, Computer Science",USA,6.5
University of Sydney,Gold Coast,19199,"Economics, Mathematics",Australia,7.5
University of Alberta,Halifax,11749,"Law, Biology, AI",Canada,7.5
University of Manchester,Glasgow,19971,"Computer Science, Mathematics, Economics, Biology",UK,7.5
King's College London,London,14269,"Mathematics, Economics, Business, Law",UK,8.0
University of Adelaide,Gold Coast,10479,"AI, Biology",Australia,8.0
Imperial College London,Cambridge,19597,"Law, Economics, Physics",UK,7.0
Durham University,Edinburgh,19886,"Law, Computer Science, Economics, Physics",UK,8.0
King's College London,Cambridge,10611,"Computer Science, AI",UK,8.0
Stanford,Durham,19694,"Engineering, Biology, Economics, Business",USA,7.0
UNSW,Hobart,13686,"AI, Computer Science, Biology, Business",Australia,6.0
Durham University,Edinburgh,11491,"Physics, Computer Science, Mathematics, Engineering",UK,7.0
LSE,Manchester,18041,"Engineering, Biology, Physics, Law",UK,8.0
University of Adelaide,Melbourne,17447,"Computer Science, Physics",Australia,7.5
University of Melbourne,Perth,11179,"AI, Physics, Robotics",Australia,6.0
UPenn,Philadelphia,14836,"AI, Business, Economics, Mathematics",USA,8.0
Queen's University,Quebec City,16482,"AI, Robotics",Canada,8.0
ANU,Adelaide,11614,"Law, Engineering, Business",Australia,8.0
University of Ottawa,Toronto,17487,"Law, AI",Canada,8.0
MIT,Los Angeles,10910,"Biology, Law, Business",USA,7.0
University of Edinburgh,Manchester,13205,"Robotics, Mathematics, Engineering, Economics",UK,7.5
University of Waterloo,Victoria,16950,"Business, Computer Science, Biology",Canada,8.0
Durham University,Liverpool,19524,"Biology, Business, Engineering, Physics",UK,6.5
UNSW,Gold Coast,19056,"Mathematics, Computer Science",Australia,7.0
University of Sydney,Canberra,16209,"Economics, Computer Science",Australia,6.5
Durham University,Oxford,14826,"Business, Engineering, AI",UK,7.5
Western University,Ottawa,15816,"Engineering, Business, AI",Canada,6.5
Imperial College London,Cambridge,14616,"Business, Robotics, Law",UK,7.5
University of Waterloo,Winnipeg,17628,"Robotics, Physics",Canada,8.0
MIT,Los Angeles,19583,"Law, Mathematics",USA,7.5
Princeton,Palo Alto,14158,"Computer Science, Mathematics, Robotics, Physics",USA,6.5
Harvard,Philadelphia,13329,"Robotics, Business",USA,7.5
King's College London,Manchester,14685,"Biology, Law, Economics, Mathematics",UK,6.5
University of Manchester,Edinburgh,13956,"Physics, Engineering, Mathematics",UK,8.0
York University,Montreal,13467,"AI, Computer Science, Business",Canada,6.5
University of Queensland,Adelaide,18198,"Engineering, Robotics, Mathematics",Australia,7.5
UBC,Victoria,17940,"Computer Science, Business, Biology, Engineering",Canada,7.5
LSE,Edinburgh,19546,"Mathematics, Business, Economics, Computer Science",UK,8.0
Monash University,Melbourne,15089,"Physics, Economics, Robotics",Australia,6.5
McMaster University,Victoria,10543,"Robotics, AI, Computer Science",Canada,6.0
MIT,Chicago,11252,"AI, Business, Biology, Robotics",USA,7.5
Stanford,Philadelphia,16733,"Business, Computer Science",USA,8.0
University of Western Australia,Adelaide,18455,"Business, Computer Science",Australia,7.5
Caltech,Palo Alto,13547,"Physics, Business, Computer Science, AI",USA,7.5
UNSW,Wollongong,11794,"Physics, Mathematics, Biology, Computer Science",Australia,7.0
Western University,Edmonton,16134,"Physics, Robotics",Canada,7.0
University of Queensland,Adelaide,13649,"AI, Biology, Business, Mathematics",Australia,6.5
McMaster University,Toronto,13356,"Robotics, Engineering, Business, Mathematics",Canada,8.0
University of Melbourne,Darwin,16569,"AI, Robotics, Business, Law",Australia,6.5
McMaster University,Quebec City,15120,"Physics, Mathematics",Canada,6.0
ANU,Perth,16128,"Economics, Computer Science",Australia,7.5
Imperial College London,Edinburgh,10203,"Economics, Computer Science, Physics, Biology",UK,6.5
University of Sydney,Melbourne,12106,"Robotics, Mathematics, Biology, Law",Australia,6.5
UPenn,New York,11872,"Engineering, Economics",USA,7.5
Duke,Palo Alto,15027,"AI, Engineering, Computer Science",USA,7.5
LSE,Manchester,12064,"Law, Mathematics, Biology",UK,7.5
University of Chicago,Los Angeles,10959,"Biology, Business, Physics, Robotics",USA,7.5
UNSW,Melbourne,16738,"Economics, Robotics, Engineering, Physics",Australia,6.5
University of Melbourne,Sydney,19206,"Business, Mathematics",Australia,7.0
York University,Edmonton,16189,"Engineering, Physics, Economics",Canada,7.0
University of Glasgow,London,12789,"Computer Science, Business",UK,7.5
Cambridge,Manchester,16783,"Economics, Robotics",UK,7.0
University of Alberta,Edmonton,17898,"AI, Economics, Mathematics",Canada,8.0
University of Sydney,Melbourne,18625,"Robotics, Economics, Mathematics",Australia,8.0
University of Melbourne,Sydney,15176,"Engineering, Law",Australia,8.0
Monash University,Sydney,12123,"Economics, Physics, Business, AI",Australia,7.0
University of Edinburgh,Liverpool,17287,"Economics, Engineering",UK,6.5
King's College London,Manchester,13601,"Law, Computer Science",UK,6.5
Duke,Palo Alto,14144,"Law, Economics",USA,8.0
University of Toronto,Quebec City,14192,"Computer Science, Physics",Canada,6.5
Caltech,Durham,15602,"Computer Science, Economics",USA,7.0
King's College London,Manchester,18064,"Law, Economics",UK,6.5
University of Glasgow,Oxford,15326,"Computer Science, Mathematics, AI",UK,6.5
Durham University,Edinburgh,19827,"AI, Mathematics, Computer Science",UK,7.5
RMIT University,Wollongong,19684,"AI, Computer Science, Engineering",Australia,8.0
Harvard,Palo Alto,18031,"Engineering, Mathematics, Business, Economics",USA,8.0
UBC,Winnipeg,12624,"AI, Physics",Canada,6.5
University of Manchester,Oxford,17767,"Mathematics, Business, Biology, Economics",UK,7.0
Yale,Philadelphia,11937,"AI, Law, Computer Science, Robotics",USA,7.0
University of Alberta,Quebec City,19035,"AI, Computer Science, Robotics, Business",Canada,7.0
McGill University,Vancouver,10008,"AI, Robotics",Canada,6.5
Durham University,Leeds,17741,"Economics, Physics, Biology, Engineering",UK,6.5
Columbia,Chicago,18093,"Law, AI, Engineering",USA,6.0
University of Edinburgh,Edinburgh,12663,"Robotics, Mathematics, Biology, Engineering",UK,7.0
University of Chicago,Durham,17894,"Law, AI, Robotics, Computer Science",USA,6.5
University of Bristol,Manchester,16043,"Engineering, Biology, Business",UK,7.5
University of Glasgow,Bristol,16795,"Physics, Robotics",UK,7.5
Monash University,Wollongong,17327,"Mathematics, Physics, AI, Robotics",Australia,7.5
University of Edinburgh,Edinburgh,10390,"Business, Computer Science, Biology, Engineering",UK,7.0
Western University,Toronto,18544,"Biology, Law, Physics, Robotics",Canada,8.0
York University,Ottawa,15995,"Biology, Physics, Mathematics, Law",Canada,7.0
UNSW,Melbourne,15698,"Economics, Engineering, Computer Science",Australia,7.5
York University,Edmonton,14629,"Business, Computer Science, Mathematics",Canada,7.0
Columbia,New York,11360,"AI, Mathematics",USA,6.5
University of Waterloo,Victoria,17270,"Business, Physics, Engineering, Computer Science",Canada,8.0
Western University,Edmonton,16517,"Biology, Computer Science, Law, Engineering",Canada,7.0
McGill University,Calgary,11840,"Robotics, Business, Mathematics",Canada,6.0
University of Sydney,Perth,10870,"Mathematics, Computer Science, Law",Australia,6.0
University of Technology Sydney,Sydney,16248,"Mathematics, Biology",Australia,6.0
UNSW,Hobart,11415,"Biology, Mathematics, Economics",Australia,6.0
Cambridge,Liverpool,14798,"AI, Mathematics, Engineering, Physics",UK,6.0
McGill University,Calgary,13943,"Mathematics, Engineering",Canada,8.0
University of Ottawa,Edmonton,14541,"Economics, Engineering, Biology, Business",Canada,8.0
UNSW,Melbourne,13581,"AI, Law, Economics, Physics",Australia,7.5
Princeton,San Francisco,15683,"Mathematics, Engineering, Computer Science",USA,6.0
UNSW,Gold Coast,12729,"Engineering, Mathematics, Law",Australia,6.0
University of Melbourne,Gold Coast,16505,"Business, Biology, AI",Australia,7.5
Queen's University,Vancouver,12795,"Law, Physics, Engineering, Robotics",Canada,7.0
University of Sydney,Canberra,11514,"Business, Law, AI",Australia,8.0
King's College London,Edinburgh,10172,"Law, AI",UK,7.5
University of Chicago,New York,17480,"Physics, Robotics, AI, Computer Science",USA,7.0
University of Chicago,Los Angeles,10128,"Computer Science, Law, Robotics",USA,7.5
Caltech,San Francisco,11037,"Biology, Law",USA,6.0
King's College London,Glasgow,12179,"Physics, AI",UK,8.0
University of Western Australia,Adelaide,10638,"Biology, Mathematics",Australia,6.5
University of Edinburgh,Durham,13561,"Physics, Computer Science, Robotics, AI",UK,7.0
Imperial College London,Durham,18897,"Economics, AI, Biology, Computer Science",UK,7.5
University of Glasgow,Bristol,15877,"Business, Computer Science",UK,7.0
University of Bristol,Durham,18041,"Mathematics, Robotics, Engineering, Biology",UK,6.5
ANU,Gold Coast,12172,"Computer Science, AI, Law, Biology",Australia,8.0
York University,Quebec City,18592,"Economics, Mathematics, Biology, Physics",Canada,8.0
Western University,Halifax,13855,"Engineering, Robotics, AI",Canada,7.0
University of Toronto,Quebec City,18386,"Engineering, Mathematics, Economics",Canada,8.0
Western University,Montreal,14977,"Biology, Computer Science, AI, Mathematics",Canada,7.0
UNSW,Brisbane,16530,"Computer Science, Business",Australia,8.0
University of Technology Sydney,Canberra,15695,"Physics, Economics",Australia,8.0
LSE,Oxford,18592,"Robotics, Law, Engineering, Computer Science",UK,8.0
University of Alberta,Montreal,11664,"Mathematics, Biology, Law",Canada,7.0
University of Glasgow,Liverpool,13969,"Law, Biology",UK,7.5
University of Technology Sydney,Sydney,15867,"Economics, AI, Biology, Business",Australia,7.5
Monash University,Hobart,10496,"Business, Physics",Australia,7.5
Yale,Los Angeles,14503,"Computer Science, Engineering",USA,7.0
Caltech,Princeton,18675,"Business, Computer Science, Law",USA,7.5
McMaster University,Toronto,16160,"Biology, Mathematics, Physics",Canada,8.0
ANU,Canberra,16622,"Computer Science, Physics",Australia,6.0
Durham University,Bristol,15131,"Economics, Physics, AI",UK,6.5
University of Sydney,Darwin,19473,"Robotics, Business, Engineering",Australia,6.5
University of Toronto,Toronto,15137,"Business, Law, Robotics",Canada,7.5
Caltech,Philadelphia,17933,"Computer Science, Engineering",USA,7.0
Monash University,Darwin,13858,"Biology, Mathematics, Law",Australia,8.0
University of Sydney,Gold Coast,17760,"Engineering, Biology, Mathematics, Physics",Australia,6.5
Monash University,Sydney,11755,"Engineering, Business, Physics",Australia,7.0
Duke,San Francisco,12477,"Mathematics, Law",USA,6.0
University of Alberta,Edmonton,17099,"Law, Physics, Engineering",Canada,6.0
Columbia,Boston,14535,"Law, Physics, Business, AI",USA,6.5
LSE,Cambridge,18621,"Biology, Mathematics, Economics",UK,7.5
University of Toronto,Halifax,13506,"Business, Engineering, Robotics",Canada,8.0
Duke,Cambridge,15519,"Economics, Robotics, Biology, AI",USA,7.0
LSE,Oxford,13118,"Economics, Law, Biology",UK,8.0
University of Bristol,Bristol,15776,"Biology, Computer Science, AI",UK,6.0
Oxford,Durham,14566,"Computer Science, Physics, Engineering",UK,7.5
University of Toronto,Quebec City,12145,"Physics, Business, Engineering",Canada,6.0
Oxford,Bristol,15510,"Computer Science, Mathematics, Law, Business",UK,8.0
Queen's University,Quebec City,18168,"Engineering, Physics",Canada,6.5
York University,Calgary,18354,"Biology, Physics, Economics, Robotics",Canada,7.0
Oxford,Liverpool,18957,"Engineering, Physics",UK,6.5
Queen's University,Toronto,16362,"Mathematics, Computer Science, Economics, Physics",Canada,6.0
University of Bristol,Liverpool,10079,"Mathematics, Physics, Law, Robotics",UK,6.5
Caltech,Philadelphia,13904,"Business, Law",USA,6.5
Oxford,Durham,11796,"Business, AI, Law, Robotics",UK,6.0
Cambridge,Bristol,17341,"Business, Physics, Computer Science",UK,6.5
University of Alberta,Ottawa,10861,"Robotics, Business, Physics, Engineering",Canada,6.5
